"","x","cluster_hits","aggInv_cover","aggInv_pval","aggInv_pval_jk","aggInv_fdr","sumz_n","sumz_pval","sumz_fdr","sumlog_n","sumlog_pval","sumlog_fdr"
"1","hsa-miR-451a",0,-1.88723765369368,6.51012321342917e-17,3.91827589485985e-16,9.30947619520371e-15,"65",1,1,"65",1.061e-07,4.55169e-05
"2","hsa-miR-668-3p",1,-0.965672453153079,0.000106927136549304,0.000136192916359659,0.00104253958135571,"65",0.9979,1,"65",1.002e-06,0.000214929
"3","hsa-miR-325-3p",0,0.414281948743421,0.000937499779186354,0.00106541955281092,0.00648689363340236,"65",0.0004188,0.1796652,"65",9.088e-06,0.001299584
"4","hsa-miR-383-5p.2",0,-0.597256277987253,8.05642384858338e-08,1.20708449217949e-07,2.03306225355428e-06,"65",0.8697,1,"65",1.408e-05,0.00151008
"5","hsa-miR-495-3p",0,-0.33758138461006,0.00476256671105124,0.00529446512079556,0.0261941169107818,"65",0.5938,1,"65",0.0001509,0.01294722
"6","hsa-miR-374c-3p",1,-0.185024090439904,1.16156072109001e-10,1.85875547833237e-10,4.53008681225104e-09,"65",0.2883,1,"65",0.006794,0.485771
"7","hsa-miR-371a-5p",0,-0.614046737600504,2.935893354812e-08,4.4516404531084e-08,8.39665499476232e-07,"65",0.9696,1,"65",0.009686,0.593613428571429
"8","hsa-miR-552-3p",3,-0.134618872863249,9.60384780120944e-07,1.25728671962034e-06,1.47133223033491e-05,"65",0.4425,1,"65",0.01203,0.64510875
"9","hsa-miR-615-3p",1,-1.6639727042348,7.95865263373916e-40,3.69632956169933e-38,3.4142619798741e-37,"65",1,1,"65",0.02731,1
"10","hsa-miR-4766-5p",2,-1.52191931135903,0.000484892535668598,0.00058774554823094,0.00384297166455326,"65",1,1,"65",0.1017,1
"11","hsa-miR-450b-5p",0,-0.405269640014937,0.000103653212893149,0.000123629711227555,0.00104253958135571,"65",0.8443,1,"65",0.1047,1
"12","hsa-miR-411-5p.1",0,-0.631200143580108,8.76148622184977e-16,1.96870884719023e-15,6.26446264862259e-14,"65",0.978,1,"65",0.1318,1
"13","hsa-miR-641/hsa-miR-3617-5p",3,-0.812503124841387,9.94606868990965e-07,1.36090386108282e-06,1.47133223033491e-05,"65",0.9997,1,"65",0.2369,1
"14","hsa-miR-556-3p",1,-1.5248808942545,1.69233319874912e-06,2.45888026431548e-06,2.42003647421125e-05,"65",1,1,"65",0.2843,1
"15","hsa-miR-532-5p",0,-0.906280734974312,2.37629000981257e-07,3.42466089711894e-07,4.43229745308518e-06,"65",0.9997,1,"65",0.3057,1
"16","hsa-miR-505-3p.1",1,-1.17549687621464,8.970677336665e-09,1.4870528581783e-08,2.96032352109945e-07,"65",1,1,"65",0.3122,1
"17","hsa-miR-186-5p",0,-0.395485092412373,0.0422526135586902,0.0441873499804228,0.166296983639249,"65",0.9392,1,"65",0.4222,1
"18","hsa-miR-525-5p",0,-0.50455800729784,0.034921051799766,0.0368278851932694,0.141331426623581,"65",0.9869,1,"65",0.4379,1
"19","hsa-miR-892c-5p",3,-1.14764621285035,7.12684926692974e-05,8.99366659288013e-05,0.000849282870975794,"65",1,1,"65",0.4494,1
"20","hsa-miR-382-3p",1,-0.948085595613732,1.36595230633987e-07,1.96073922501711e-07,2.79044542580859e-06,"65",1,1,"65",0.4744,1
"21","hsa-miR-493-3p",0,-1.13515322069721,6.48154862400258e-07,9.10654399710791e-07,1.11223374387884e-05,"65",1,1,"65",0.6396,1
"22","hsa-miR-490-3p",2,-1.36059807170199,2.59733327917016e-05,3.35930929756814e-05,0.000318358850504,"65",1,1,"65",0.7404,1
"23","hsa-miR-1278",0,-0.589227688476495,1.03629787487003e-07,1.43354083606412e-07,2.3398515174697e-06,"65",0.9965,1,"65",0.7596,1
"24","hsa-miR-651-5p",0,-0.803804923005318,9.81478847535115e-12,1.72221633024996e-11,4.21054425592564e-10,"65",0.9998,1,"65",0.7846,1
"25","hsa-miR-132-3p/hsa-miR-212-3p",1,-0.803271484571822,0.331115647412268,0.333066160058165,0.835580074940369,"65",1,1,"65",0.8146,1
"26","hsa-miR-2681-3p",0,-1.22185039250308,0.000125639234300598,0.00015424778764641,0.00117172242423819,"65",1,1,"65",0.8495,1
"27","hsa-miR-670-3p",0,-1.14015717803153,0.0051902259484093,0.00577960691427386,0.0278325866483449,"65",1,1,"65",0.8646,1
"28","hsa-miR-1179",0,-0.717771283385424,2.50005477220102e-08,3.590669041904e-08,7.6608821233874e-07,"65",0.9996,1,"65",0.9119,1
"29","hsa-miR-421",1,-0.435414167592757,0.000171782708859945,0.000198054588842825,0.00153530796043575,"65",0.9887,1,"65",0.9162,1
"30","hsa-miR-802",0,-1.4950641136556,0.0971936311063621,0.100601713587332,0.323225331353716,"65",1,1,"65",0.9214,1
"31","hsa-miR-5687",0,-0.708153955240028,2.4952363666386e-19,6.33701200172093e-19,5.3522820064398e-17,"65",0.9988,1,"65",0.9249,1
"32","hsa-miR-556-5p",0,-0.854524941133774,9.63324918706704e-12,1.66843891516191e-11,4.21054425592564e-10,"65",0.9999,1,"65",0.93,1
"33","hsa-miR-4661-5p",0,-1.08378379644699,0.00793494202998998,0.00867572514627148,0.0386828423962012,"65",1,1,"65",0.9361,1
"34","hsa-miR-875-5p",0,-0.923171255968638,1.92525101699623e-16,4.47460910215893e-16,2.06483171572845e-14,"65",1,1,"65",0.9431,1
"35","hsa-miR-193a-3p/hsa-miR-193b-3p",2,-2.38217326152852,0.586410682005874,0.584949967268413,1,"65",1,1,"65",0.9458,1
"36","hsa-miR-582-3p",3,-1.2317017614079,0.0864460956451747,0.089534640203941,0.296683000254239,"65",1,1,"65",0.948,1
"37","hsa-miR-362-5p",1,-1.4211026600391,0.000866707239230192,0.00100479918695201,0.00609536730540578,"65",1,1,"65",0.9588,1
