"","x","cluster_hits","aggInv_cover","aggInv_pval","aggInv_pval_jk","aggInv_fdr","sumz_n","sumz_pval","sumz_fdr","sumlog_n","sumlog_pval","sumlog_fdr"
"1","hsa-miR-325-3p",2,-0.496452736759516,5.36268142562994e-19,2.24676439264571e-18,3.87900623120566e-17,"59",0.6932,1,"59",3.357e-10,1.456938e-07
"2","hsa-miR-1197",0,-0.118530518238058,2.88730991713252e-14,6.1518893299298e-14,8.35395002690343e-13,"59",0.1575,1,"59",0.0003727,0.0808759
"3","hsa-miR-629-5p",0,-0.590855397220131,3.30499576508253e-07,4.98232339632009e-07,2.86873632409164e-06,"59",0.9428,1,"59",0.001366,0.197614666666667
"4","hsa-miR-5586-5p",0,-1.23566660265065,1.52199683816528e-05,2.14181320049885e-05,9.1742587189407e-05,"59",1,1,"59",0.01361,1
"5","hsa-miR-204-5p/hsa-miR-211-5p",0,-0.326315383387238,1.20243107008837e-09,1.96707733462013e-09,1.68340349812371e-08,"59",0.6617,1,"59",0.01523,1
"6","hsa-miR-371a-5p",0,-1.34692446789164,3.71586711066865e-29,5.90872805163599e-28,8.06343163015098e-27,"59",1,1,"59",0.02186,1
"7","hsa-miR-381-3p",1,-1.72338702095994,1.52439138025163e-08,3.16167136047049e-08,1.7342322261848e-07,"59",1,1,"59",0.02471,1
"8","hsa-miR-552-3p",0,-0.482355858283721,4.18672019490157e-12,8.16360900553717e-12,9.34696198591128e-11,"59",0.8975,1,"59",0.0262,1
"9","hsa-miR-1278",1,-0.647371662713403,1.13830022968264e-19,4.11274091416228e-19,9.88044599364534e-18,"59",0.9856,1,"59",0.03094,1
"10","hsa-miR-655-3p",1,-1.38434753897706,1.34176214946264e-11,3.46556347469587e-11,2.64693078575811e-10,"59",1,1,"59",0.05362,1
"11","hsa-miR-421",0,-0.0763890162082375,9.79770278819194e-18,2.30675719451872e-17,5.31525376259413e-16,"59",0.2637,1,"59",0.08444,1
"12","hsa-miR-411-5p.2",0,-2.05119098213615,4.57383975841127e-09,1.11693611304511e-08,5.67156130042997e-08,"59",1,1,"59",0.125,1
"13","hsa-miR-132-3p/hsa-miR-212-3p",0,-0.870588603358546,0.000391931551443223,0.000470663323441882,0.00180955631198254,"59",0.9998,1,"59",0.1318,1
"14","hsa-miR-876-5p",0,-0.908999393528904,2.73587439639592e-18,9.38314363613604e-18,1.69624212576547e-16,"59",0.9999,1,"59",0.184,1
