"","x","cluster_hits","aggInv_cover","aggInv_pval","aggInv_pval_jk","aggInv_fdr","sumz_n","sumz_pval","sumz_fdr","sumlog_n","sumlog_pval","sumlog_fdr"
"1","hsa-miR-132-3p/hsa-miR-212-3p",2,-1.11138761472294,0.00127392598894703,0.00147400354739643,0.00750906627125023,"76",1,1,"76",4.893e-07,0.0002123562
"2","hsa-miR-4424",5,-0.904767788865337,4.42214690023698e-15,1.08929102957053e-14,5.67809692564315e-13,"76",0.9997,1,"76",9.287e-06,0.002015279
"3","hsa-miR-339-5p",4,-0.789228945057599,7.88500979696997e-12,1.47541986768303e-11,3.80232694653885e-10,"76",0.9988,1,"76",6.289e-05,0.00909808666666667
"4","hsa-miR-892c-3p/hsa-miR-452-5p",2,-0.60631345241846,5.2332690558923e-15,1.09417951663087e-14,5.67809692564315e-13,"76",0.972,1,"76",0.0003286,0.0356531
"5","hsa-miR-629-5p",2,-1.12158460056741,9.57532817277677e-05,0.000118564980684257,0.000903411397170678,"76",1,1,"76",0.005735,0.497798
"6","hsa-miR-325-3p",1,-1.45183043815989,1.99128550742694e-10,3.78465388003308e-10,5.76145273482195e-09,"76",1,1,"76",0.02928,1
"7","hsa-miR-150-5p",3,-1.89374685423296,5.59425039036596e-08,9.64456821045511e-08,1.21395233470941e-06,"76",1,1,"76",0.03524,1
"8","hsa-miR-542-3p",2,-1.12452808076774,3.07776541041916e-11,5.70863724216231e-11,1.2143183528381e-09,"76",1,1,"76",0.0544,1
"9","hsa-miR-154-5p",3,-1.89266701901314,4.93765886723251e-10,1.00660682282011e-09,1.33933996773682e-08,"76",1,1,"76",0.07326,1
"10","hsa-miR-191-5p",2,-1.68678931740951,3.74831696099204e-19,1.69084804960841e-18,1.62676956107055e-16,"76",1,1,"76",0.1006,1
"11","hsa-miR-4524a-5p/hsa-miR-4524b-5p",2,-1.23163347307374,0.0226784005881516,0.0241765875430382,0.0800197224004699,"76",1,1,"76",0.1244,1
"12","hsa-miR-196a-5p/hsa-miR-196b-5p",0,-1.27455015208383,6.84080328569402e-05,8.49865788506996e-05,0.000674751960452547,"76",1,1,"76",0.2173,1
"13","hsa-miR-2467-3p",1,-0.989537758380568,6.31051336846398e-05,7.79671000086328e-05,0.000652086381407944,"76",1,1,"76",0.325,1
"14","hsa-miR-503-5p",1,-1.45515778995738,0.0171048644100598,0.0184220846498739,0.0639957858100513,"76",1,1,"76",0.4435,1
