"","x","cluster_hits","aggInv_cover","aggInv_pval","aggInv_pval_jk","aggInv_fdr","sumz_n","sumz_pval","sumz_fdr","sumlog_n","sumlog_pval","sumlog_fdr"
"1","hsa-miR-325-3p",1,0.598748330785745,3.90399617065824e-13,5.46057551274739e-13,3.42770863783793e-11,"119",7.691e-17,3.376349e-14,"119",5.537e-26,2.430743e-23
"2","hsa-miR-524-5p",8,-0.00570867930506011,3.06156445530073e-09,3.96508071092173e-09,2.24004465979503e-07,"119",0.003111,0.6828645,"119",1.079e-14,2.368405e-12
"3","hsa-miR-371a-5p",1,-0.271037999008097,6.88852803584023e-26,1.45173423471069e-25,3.02406380773386e-23,"119",0.05898,1,"119",2.294e-09,3.35688666666667e-07
"4","hsa-miR-556-3p",1,-0.153212840076904,7.99048399591101e-14,1.11913964313618e-13,8.76955618551234e-12,"119",0.1299,1,"119",0.001042,0.1143595
"5","hsa-miR-500a-5p",0,-0.116385708696513,6.7719226509163e-14,9.43344604342062e-14,8.76955618551234e-12,"119",0.1361,1,"119",0.0016,0.14048
"6","hsa-miR-495-3p",5,-0.595588991467882,0.000453299493656406,0.000493514908090839,0.00865210772674618,"119",0.9989,1,"119",0.007229,0.528921833333333
"7","hsa-miR-452-5p/hsa-miR-892c-3p",0,0.0505642704689413,5.4570353995952e-08,6.44226887643914e-08,2.66182060046922e-06,"119",0.05178,1,"119",0.03527,1
"8","hsa-miR-132-3p/hsa-miR-212-3p",1,-0.484451194366872,0.247899005979012,0.249579604069465,1,"119",0.9801,1,"119",0.2911,1
"9","hsa-miR-374c-3p",0,-0.196565474452645,5.05920634688582e-09,6.11408771263214e-09,3.17284512326125e-07,"119",0.4968,1,"119",0.3827,1
"10","hsa-miR-410-3p",0,-0.954984646476654,6.09587587055218e-09,7.74532872490213e-09,3.34511188396551e-07,"119",1,1,"119",0.3914,1
"11","hsa-miR-1307-5p",0,-2.76685389402728,1.66068515940199e-06,2.10854510614323e-06,6.07533987481227e-05,"119",1,1,"119",0.4038,1
"12","hsa-miR-7151-5p",0,-0.619929357678259,2.90792193165447e-06,3.34580773540911e-06,8.51051818664208e-05,"119",0.9962,1,"119",0.653,1
"13","hsa-miR-1276",0,-0.677703425216967,0.0165769106978274,0.0172052751574038,0.173268185627291,"119",1,1,"119",0.9089,1
"14","hsa-miR-944",1,-0.87793894144318,2.87005266559852e-16,4.39678876346974e-16,6.29976560098875e-14,"119",1,1,"119",0.927,1
"15","hsa-miR-6835-3p",0,-0.455189765702657,0.0484278143172299,0.0495002750975555,0.401128499721961,"119",0.9997,1,"119",0.9399,1
"16","hsa-miR-362-5p",0,-0.738252355534897,0.225250499515473,0.227002117984764,1,"119",1,1,"119",0.9555,1
"17","hsa-miR-421",0,-0.476647187611324,0.0614726099185224,0.0628750186202998,0.47344694305669,"119",0.9988,1,"119",0.9826,1
"18","hsa-miR-520g-3p",1,-0.765551225857767,0.760294193204194,0.758563967179699,1,"119",1,1,"119",0.9882,1
"19","hsa-miR-370-3p",0,-0.544404302669857,0.230943078009017,0.232454915858409,1,"119",1,1,"119",0.9901,1
"20","hsa-miR-552-3p",0,-0.41088054555393,0.031646272247181,0.0324860771582313,0.295589649287499,"119",0.9997,1,"119",0.9914,1
"21","hsa-miR-1323",0,-0.987311427871216,0.83054961682353,0.828810601996263,1,"119",1,1,"119",0.9916,1
"22","hsa-miR-499a-5p",0,-0.505850498810836,1.19112011646977e-06,1.36179416865846e-06,4.75365210118388e-05,"119",0.9996,1,"119",0.9923,1
"23","hsa-miR-208b-3p/hsa-miR-208a-3p",0,-0.66791137642225,0.0113173718165738,0.0117682755346332,0.130745427038839,"119",1,1,"119",0.9941,1
"24","hsa-miR-203a-3p.2",0,-1.69676270610116,0.407001707676132,0.407805700463066,1,"119",1,1,"119",0.9944,1
"25","hsa-miR-26b-5p/hsa-miR-26a-5p",0,-0.847452285999477,0.326416574266632,0.327669591826627,1,"119",1,1,"119",0.9948,1
"26","hsa-miR-381-3p",0,-0.793649328929645,0.025898607813215,0.0267497727654753,0.252655307333364,"119",1,1,"119",0.9956,1
"27","hsa-miR-3942-5p",1,-0.77515321832092,0.406004718628513,0.406672645395794,1,"119",1,1,"119",0.9959,1
"28","hsa-miR-889-3p",0,-1.59428269898491,0.009255534860733,0.00972154354586013,0.112866105662827,"119",1,1,"119",0.9972,1
"29","hsa-miR-522-3p",0,-0.826977596468727,0.0502049610345279,0.0513526905127297,0.408147738780699,"119",1,1,"119",0.9985,1
"30","hsa-miR-514b-5p/hsa-miR-513c-5p",0,-0.447531869708813,1.87060229590467e-06,2.13151434740401e-06,6.31688006078579e-05,"119",0.9992,1,"119",0.9987,1
"31","hsa-miR-888-5p",2,-1.63730007274415,0.993780376954648,0.993343768494137,1,"119",1,1,"119",0.9987,1
"32","hsa-miR-488-3p",0,-0.621114321667066,0.0461111435028559,0.0472471025332061,0.389284461495264,"119",1,1,"119",0.9989,1
"33","hsa-miR-493-3p",0,-0.420627791745348,0.0159966084649083,0.0165047571973125,0.17128075892914,"119",0.999,1,"119",0.999,1
"34","hsa-miR-379-3p/hsa-miR-411-3p",0,-0.911239451932983,3.95367976100597e-05,4.42090851852171e-05,0.00102097965593037,"119",1,1,"119",0.9991,1
"35","hsa-miR-330-3p",0,-0.545705115643556,0.0519956522311738,0.0530280223851395,0.415019842354278,"119",1,1,"119",0.9992,1
"36","hsa-miR-450b-5p",0,-0.755210180281369,0.184175303356143,0.185805615704794,1,"119",1,1,"119",0.9995,1
"37","hsa-miR-10b-5p/hsa-miR-10a-5p",1,-0.988287507993255,0.802439289941651,0.800536632834824,1,"119",1,1,"119",0.9996,1
"38","hsa-miR-188-5p",0,-0.803723413940493,0.374873836801617,0.375737322196706,1,"119",1,1,"119",0.9997,1
"39","hsa-miR-651-5p",0,-1.12931910583124,0.00973091060078829,0.0101747618611984,0.115455939290434,"119",1,1,"119",0.9997,1
"40","hsa-miR-3140-3p",1,-0.547491447385491,0.303813417495751,0.304891478789564,1,"119",1,1,"119",0.9998,1
"41","hsa-miR-4661-5p",0,-0.738632103439411,0.0139117866922712,0.0144265988130568,0.156596778407873,"119",1,1,"119",0.9998,1
"42","hsa-miR-545-3p",0,-0.627221778869692,0.977329175745845,0.976623659548112,1,"119",1,1,"119",0.9998,1
"43","hsa-miR-4766-5p",0,-0.857271382705065,0.00402122989601877,0.00423081243588104,0.053494543162189,"119",1,1,"119",0.9999,1
