"","x","cluster_hits","aggInv_cover","aggInv_pval","aggInv_pval_jk","aggInv_fdr","sumz_n","sumz_pval","sumz_fdr","sumlog_n","sumlog_pval","sumlog_fdr"
"1","hsa-miR-495-3p",1,-0.385224455459903,0.000484396346476801,0.000530892289396606,0.00364571987085171,"119",0.7081,1,"119",9.815e-07,0.0004210635
"2","hsa-miR-451a",0,-2.24812049253828,1.37205476341347e-20,4.94941233528998e-20,1.96203831168127e-18,"119",1,1,"119",4.498e-06,0.000964821
"3","hsa-miR-374c-3p",1,0.0424466014077103,6.65449377878965e-22,1.13707481708131e-21,1.42738891555038e-19,"119",0.004879,1,"119",2.211e-05,0.00316173
"4","hsa-miR-325-3p",0,0.0643706873452214,0.0287368572614995,0.0296357621702356,0.118539536203685,"119",0.1574,1,"119",0.002596,0.278421
"5","hsa-miR-383-5p.2",0,-1.40996576299392,8.42540743056326e-05,9.62827738041212e-05,0.000753020789106592,"119",1,1,"119",0.01886,1
"6","hsa-miR-668-3p",0,-1.92037051488612,0.131243423421274,0.133503378590782,0.423334049982906,"119",1,1,"119",0.08622,1
"7","hsa-miR-556-3p",1,-1.24871104624328,3.06062260847743e-14,4.98863779503933e-14,1.87572442719545e-12,"119",1,1,"119",0.1091,1
"8","hsa-miR-371a-5p",0,-0.94268287021178,1.89811022452031e-09,2.51475292213767e-09,4.2857330858906e-08,"119",1,1,"119",0.1221,1
"9","hsa-miR-1278",1,-0.65129326982863,7.5145748174773e-12,1.0451148842872e-11,3.22375259669776e-10,"119",0.9997,1,"119",0.17,1
"10","hsa-miR-552-3p",4,-0.286613288784778,4.36516919110178e-09,5.34745669478268e-09,9.36328791491332e-08,"119",0.9278,1,"119",0.3388,1
"11","hsa-miR-505-3p.1",0,-1.06759016535403,2.45237761682136e-16,4.17393102000898e-16,2.10413999523272e-14,"119",1,1,"119",0.5027,1
"12","hsa-miR-641/hsa-miR-3617-5p",1,-1.06994409603085,5.1547311705558e-08,6.44375257877061e-08,8.15407969159971e-07,"119",1,1,"119",0.659,1
"13","hsa-miR-524-5p",2,-1.87759639440498,0.000540221328675001,0.00060427539779316,0.00399577500002716,"119",1,1,"119",0.7072,1
"14","hsa-miR-525-5p",1,-0.542215366378589,0.0116998586757307,0.0121976971823086,0.057036811044187,"119",0.9998,1,"119",0.7691,1
"15","hsa-miR-599",0,-0.926590668031401,1.53650036197167e-08,1.9351551234814e-08,2.86590719689498e-07,"119",1,1,"119",0.7981,1
"16","hsa-miR-3121-3p",2,-1.72763879572805,0.000352317618004628,0.000392622051364806,0.00279896774303677,"119",1,1,"119",0.8113,1
"17","hsa-miR-4661-5p",0,-0.727063189959995,7.20602731181303e-07,8.48797119379613e-07,9.97221198957351e-06,"119",1,1,"119",0.8285,1
"18","hsa-miR-493-3p",0,-1.42253001227212,4.68131461839141e-08,5.96420306690032e-08,7.72416912034583e-07,"119",1,1,"119",0.8389,1
"19","hsa-miR-433-3p",2,-1.71017638338717,0.471618796520524,0.471859372873238,1,"119",1,1,"119",0.8507,1
"20","hsa-miR-892c-3p/hsa-miR-452-5p",0,-0.728499598202219,2.76031731560682e-06,3.17922986596017e-06,3.48287096586861e-05,"119",1,1,"119",0.8938,1
"21","hsa-miR-362-5p",0,-1.3909720398258,6.51920652891421e-06,7.60050464325173e-06,7.55875567811945e-05,"119",1,1,"119",0.9493,1
"22","hsa-miR-802",1,-1.47986270163328,0.0343870989985371,0.0355616797207806,0.132901490724076,"119",1,1,"119",0.9504,1
"23","hsa-miR-186-5p",0,-0.760650743756059,0.261871667594322,0.263406310659127,0.715560161770472,"119",1,1,"119",0.9554,1
"24","hsa-miR-4766-3p",2,-1.1296702381829,2.75673802264567e-08,3.47069045125487e-08,4.92766921547913e-07,"119",1,1,"119",0.9568,1
"25","hsa-miR-4766-5p",3,-1.72921867952896,0.000163101903101868,0.00018281878261645,0.00137197483197454,"119",1,1,"119",0.982,1
"26","hsa-miR-370-3p",1,-0.858330383376641,3.3318215904109e-08,4.08789638538681e-08,5.7174058491451e-07,"119",1,1,"119",0.9885,1
"27","hsa-miR-450b-5p",0,-1.07718442605362,0.0146863316274985,0.0152920604272906,0.067746626539751,"119",1,1,"119",0.9899,1
"28","hsa-miR-499b-5p",0,-1.22961396749282,3.71030000694853e-05,4.20379334411107e-05,0.000378980643566885,"119",1,1,"119",0.9906,1
"29","hsa-miR-629-5p",0,-0.870534840174373,0.000481058656726005,0.000525709007007661,0.00364571987085171,"119",1,1,"119",0.9924,1
"30","hsa-miR-3140-3p",0,-0.730755993887724,6.16126564310417e-09,7.60275259412041e-09,1.25865855280557e-07,"119",1,1,"119",0.9952,1
"31","hsa-miR-942-5p",0,-0.906847688354603,2.8161967004346e-05,3.18007278356705e-05,0.000302037096121611,"119",1,1,"119",0.9953,1
"32","hsa-miR-615-3p",0,-2.66121596113672,4.54886824589399e-28,3.20360170963045e-27,1.95146447748852e-25,"119",1,1,"119",0.9971,1
"33","hsa-miR-1179",0,-0.798804696859396,1.14836689767555e-12,1.58695897970676e-12,6.15811748878512e-11,"119",1,1,"119",0.9974,1
"34","hsa-miR-520e/hsa-miR-372-3p/hsa-miR-302e/hsa-miR-302b-3p/hsa-miR-520b/hsa-miR-302a-3p/hsa-miR-520a-3p/hsa-miR-520d-3p/hsa-miR-302c-3p.1/hsa-miR-302d-3p/hsa-miR-520c-3p",3,-1.29899109878601,0.869955037131037,0.86803574639152,1,"119",1,1,"119",0.9976,1
"35","hsa-miR-1307-3p",0,-1.44469601808057,0.143306048717993,0.145174409445651,0.455394777037178,"119",1,1,"119",0.9978,1
"36","hsa-miR-132-3p/hsa-miR-212-3p",0,-1.26025675847812,0.883939294902245,0.88227684692975,1,"119",1,1,"119",0.9989,1
"37","hsa-miR-499a-5p",0,-1.59130604281633,0.0736435462566644,0.0753118326125197,0.254782914065395,"119",1,1,"119",0.9989,1
"38","hsa-miR-513b-5p",0,-1.58681869902579,6.60107000522936e-05,7.52053295640325e-05,0.000615621528748564,"119",1,1,"119",0.9992,1
"39","hsa-miR-490-3p",2,-1.89948351455149,0.000842903497482445,0.000924501065911076,0.00574597970872962,"119",1,1,"119",0.9994,1
"40","hsa-miR-488-3p",0,-1.33424424422143,0.417696239061756,0.41833992537902,1,"119",1,1,"119",0.9996,1
"41","hsa-miR-651-5p",0,-1.43791207672946,1.77619412826491e-10,2.43025896174745e-10,4.76242050641028e-09,"119",1,1,"119",0.9996,1
"42","hsa-miR-411-5p.1",0,-1.90964499352713,2.26431711311605e-07,2.86263214386822e-07,3.23797347175595e-06,"119",1,1,"119",0.9997,1
"43","hsa-miR-532-5p",0,-1.88152497529559,0.00484984809296062,0.00517945379650504,0.0260073103985013,"119",1,1,"119",0.9997,1
"44","hsa-miR-214-5p",1,-1.99641617602303,3.17118965332678e-05,3.69327438886725e-05,0.000331814722262729,"119",1,1,"119",0.9998,1
"45","hsa-miR-345-5p",1,-2.03937396089015,6.40272213165076e-11,9.74132008172293e-11,2.11289830344475e-09,"119",1,1,"119",0.9998,1
"46","hsa-miR-503-5p",2,-2.27755565305383,0.990251844577705,0.98978020243473,1,"119",1,1,"119",0.9998,1
"47","hsa-miR-2116-3p",1,-1.12628386430008,7.04353683165896e-05,7.83946946873876e-05,0.000642910063996105,"119",1,1,"119",0.9999,1
"48","hsa-miR-497-5p/hsa-miR-424-5p/hsa-miR-16-5p/hsa-miR-15b-5p/hsa-miR-15a-5p/hsa-miR-195-5p",2,-1.1626126345559,0.999891381392067,0.999878058001454,1,"119",1,1,"119",0.9999,1
"49","hsa-miR-556-5p",0,-1.34041411624125,1.4336168496725e-12,2.06475794966176e-12,6.83357365010557e-11,"119",1,1,"119",0.9999,1
"50","hsa-let-7d-5p/hsa-miR-98-5p/hsa-let-7g-5p/hsa-let-7i-5p/hsa-let-7c-5p/hsa-let-7a-5p/hsa-let-7b-5p/hsa-let-7f-5p/hsa-let-7e-5p",1,-2.22118018107992,0.999999999999993,0.99999999999999,1,"119",1,1,"119",1,1
