"","x","cluster_hits","aggInv_cover","aggInv_pval","aggInv_pval_jk","aggInv_fdr","sumz_n","sumz_pval","sumz_fdr","sumlog_n","sumlog_pval","sumlog_fdr"
"1","hsa-miR-339-5p",3,-0.461080818256918,8.03936523714639e-13,1.82451508142543e-12,8.50857322517318e-11,"60",0.7377,1,"60",1.418e-06,0.000615412
"2","hsa-miR-4424",4,-0.726115762971281,2.94544705483984e-14,8.21226787646338e-14,4.2610800726683e-12,"60",0.9772,1,"60",7.038e-06,0.001527246
"3","hsa-miR-892c-3p/hsa-miR-452-5p",1,-0.242398163917191,4.06163199802134e-16,9.9427709919995e-16,8.81374143570631e-14,"60",0.3568,1,"60",0.0001717,0.0248392666666667
"4","hsa-miR-191-5p",2,-1.28493429678532,5.83299402953961e-22,4.28346538515128e-21,2.53151940882019e-19,"60",1,1,"60",0.004917,0.5334945
"5","hsa-miR-132-3p/hsa-miR-212-3p",1,-1.67307434543101,0.150238720156496,0.154779296262097,0.37047502584045,"60",1,1,"60",0.01414,1
"6","hsa-miR-154-5p",2,-1.61768288194807,5.84172726566489e-11,1.50844209457093e-10,3.1691370416232e-09,"60",1,1,"60",0.0236,1
"7","hsa-miR-542-3p",1,-1.0242745758851,3.73180529840177e-10,7.40946180814811e-10,1.34966958292197e-08,"60",1,1,"60",0.02735,1
"8","hsa-miR-629-5p",2,-1.25257073884615,0.00189867703510234,0.00225469857849229,0.0119424033802089,"60",1,1,"60",0.0279,1
"9","hsa-miR-150-5p",2,-1.7859515460735,1.65067853014025e-07,3.0884848902663e-07,3.41140229562319e-06,"60",1,1,"60",0.03636,1
"10","hsa-miR-4524a-5p/hsa-miR-4524b-5p",2,-1.31923940802966,0.0654958876699122,0.0690422004113238,0.194693255128369,"60",1,1,"60",0.04856,1
"11","hsa-miR-325-3p",0,-1.5057855677806,3.96785819233724e-08,7.26023774508422e-08,1.01297085616139e-06,"60",1,1,"60",0.08567,1
"12","hsa-miR-215-5p/hsa-miR-192-5p",0,-1.64547277075662,3.54578846736933e-07,5.91809131268927e-07,6.41196747849287e-06,"60",1,1,"60",0.3383,1
"13","hsa-miR-486-5p",2,-1.07443011586457,5.94372032003895e-06,8.24762447527338e-06,7.3702131968483e-05,"60",1,1,"60",0.3831,1
"14","hsa-miR-2467-3p",0,-1.0009984700548,0.000381124163290947,0.000469244044132625,0.00306310901607909,"60",1,1,"60",0.4149,1
"15","hsa-miR-802",0,-1.07207746503779,1.83956484979587e-06,2.64039855698357e-06,2.49490982753565e-05,"60",1,1,"60",0.4278,1
