"","x","cluster_hits","aggInv_cover","aggInv_pval","aggInv_pval_jk","aggInv_fdr","sumz_n","sumz_pval","sumz_fdr","sumlog_n","sumlog_pval","sumlog_fdr"
"1","hsa-miR-325-3p",3,-0.0770165126042216,1.84815035436528e-27,9.99202821778943e-27,1.60419450758906e-25,"65",0.02101,1,"65",1.849e-13,8.02466e-11
"2","hsa-miR-629-5p",0,-0.409782916117209,2.89021989835122e-09,4.71030208213741e-09,2.78745652418762e-08,"65",0.6857,1,"65",5.148e-05,0.01117116
"3","hsa-miR-132-3p/hsa-miR-212-3p",1,-0.325135897011261,1.05965757990033e-07,1.51243362591905e-07,7.92916189097833e-07,"65",0.5529,1,"65",8.297e-05,0.0120029933333333
"4","hsa-miR-371a-5p",0,-0.98606828975008,2.44637068105389e-41,6.44001900497552e-40,1.06172487557739e-38,"65",0.9999,1,"65",0.000312,0.033852
"5","hsa-miR-552-3p",1,-0.174348395239909,1.17338429206087e-16,2.61754226238176e-16,3.18280489221511e-15,"65",0.2793,1,"65",0.00125,0.1085
"6","hsa-miR-1197",0,-0.231540176807506,3.10992290885132e-14,6.23107836554601e-14,6.42717401162607e-13,"65",0.386,1,"65",0.00201,0.14539
"7","hsa-miR-5586-5p",1,-1.02415177106254,1.91984251337504e-07,2.95708244683613e-07,1.33901955529265e-06,"65",1,1,"65",0.003155,0.19561
"8","hsa-miR-204-5p/hsa-miR-211-5p",0,-0.152266142824892,4.06426922809193e-12,7.02011729609407e-12,6.19787742303772e-11,"65",0.2752,1,"65",0.006055,0.32848375
"9","hsa-miR-381-3p",1,-1.77467690836974,9.48177517770734e-09,1.89581132806334e-08,8.39814372882651e-08,"65",1,1,"65",0.01946,0.9114
"10","hsa-miR-1278",1,-0.40805439294709,1.69818935143919e-25,6.82549827416607e-25,1.0528773978923e-23,"65",0.8333,1,"65",0.021,0.9114
"11","hsa-miR-146a-5p/hsa-miR-146b-5p",1,-1.02013547164467,3.03651556623715e-10,5.64642533919646e-10,3.5617506912079e-09,"65",1,1,"65",0.03753,1
"12","hsa-miR-655-3p",1,-1.4060195372954,2.4241980066963e-12,6.1860408306786e-12,3.8966738329859e-11,"65",1,1,"65",0.03864,1
"13","hsa-miR-150-5p",1,-0.846718003234068,4.13307497383939e-19,1.37036284988483e-18,1.49479544887191e-17,"65",0.9998,1,"65",0.0501,1
"14","hsa-miR-378a-3p",0,-0.404829276033839,1.14495662490315e-06,1.50863218392307e-06,7.20161123489809e-06,"65",0.8985,1,"65",0.07707,1
"15","hsa-miR-411-5p.2",0,-2.00268023862416,2.35388604108508e-10,6.03192644289547e-10,2.83774039397479e-09,"65",1,1,"65",0.0932,1
"16","hsa-miR-542-3p",1,-0.405973264086949,3.27879606525938e-18,8.07239895530808e-18,1.01642678023041e-16,"65",0.8679,1,"65",0.1211,1
"17","hsa-miR-421",0,-0.079878650042404,2.67075577893598e-19,6.14302566198924e-19,1.15910800805821e-17,"65",0.3025,1,"65",0.1504,1
"18","hsa-miR-323b-3p",0,-0.847344092055457,1.32611089053398e-19,4.24456366834923e-19,6.39480140546384e-18,"65",0.9998,1,"65",0.1939,1
"19","hsa-miR-574-3p",0,-0.699789938079035,1.42177302901689e-14,3.06003404912448e-14,3.24762891891226e-13,"65",0.996,1,"65",0.2038,1
"20","hsa-miR-142-3p.1",0,-1.37638379294793,0.0227018104616132,0.0244818783012591,0.0553516052828098,"65",1,1,"65",0.2135,1
"21","hsa-miR-642b-5p",0,-0.475448822539753,5.45328060892079e-15,1.11800495450462e-14,1.31484654681757e-13,"65",0.9532,1,"65",0.2816,1
"22","hsa-miR-876-5p",0,-0.961654971746225,3.64098363026164e-19,1.17554527264981e-18,1.43653354139414e-17,"65",1,1,"65",0.3426,1
"23","hsa-miR-556-5p",0,-0.893638629141569,3.13950406819545e-30,2.03970558714069e-29,3.40636191399206e-28,"65",0.9999,1,"65",0.3456,1
"24","hsa-miR-505-3p.2",0,-1.16973190815641,4.13720682191519e-36,5.76545485596127e-35,8.97773880355595e-34,"65",1,1,"65",0.3575,1
"25","hsa-miR-651-5p",0,-0.552609217744181,2.70365981474648e-24,9.52731396848774e-24,1.46673544949997e-22,"65",0.9835,1,"65",0.3758,1
"26","hsa-miR-873-3p",1,-1.27587015913292,3.60953746783331e-14,9.30786548798473e-14,7.1206330047257e-13,"65",1,1,"65",0.383,1
"27","hsa-miR-371a-3p",1,-1.7471133297224,1.10491616107938e-08,2.07485400334709e-08,9.59067227816906e-08,"65",1,1,"65",0.402,1
"28","hsa-miR-516a-5p",0,-1.00834411022847,1.14068191876999e-11,2.15312139041494e-11,1.65018650915391e-10,"65",1,1,"65",0.5893,1
"29","hsa-miR-525-5p",0,-1.23108460279813,0.0388519304518816,0.0412099920266077,0.0911445287357655,"65",1,1,"65",0.6098,1
"30","hsa-miR-499a-5p",0,-1.04135349894837,2.11480404534917e-14,4.84694607812516e-14,4.58912477840769e-13,"65",1,1,"65",0.6407,1
"31","hsa-miR-2114-5p",0,-1.71838974844632,2.65464940568941e-11,6.19120124911552e-11,3.60036825646626e-10,"65",1,1,"65",0.6495,1
"32","hsa-miR-1298-5p",0,-1.95028184471419,1.30221245487288e-33,5.17413151406716e-32,1.88386735138277e-31,"65",1,1,"65",0.6967,1
"33","hsa-miR-196a-5p/hsa-miR-196b-5p",0,-1.03231805224183,7.04877758522932e-06,9.31472681587647e-06,3.68574635179461e-05,"65",1,1,"65",0.7088,1
"34","hsa-miR-495-3p",0,-1.41179807799081,1.68473277204466e-25,1.17138750269265e-24,1.0528773978923e-23,"65",1,1,"65",0.7701,1
"35","hsa-miR-1269b/hsa-miR-1269a",0,-1.1512425557221,2.07679549654035e-07,3.0368207511656e-07,1.40832694609142e-06,"65",1,1,"65",0.7869,1
"36","hsa-miR-493-3p",0,-0.85190828262361,2.98767078058931e-15,6.66293162340307e-15,7.62734775750447e-14,"65",1,1,"65",0.8185,1
"37","hsa-miR-489-3p",0,-1.69643697913436,3.09135276752784e-08,5.26051436767439e-08,2.58009057905208e-07,"65",1,1,"65",0.8299,1
"38","hsa-miR-802",1,-0.674201549152331,3.44134233013234e-10,5.46630045142223e-10,3.9303751875722e-09,"65",0.9991,1,"65",0.86,1
"39","hsa-miR-380-3p",0,-1.62755757086028,2.96527576899237e-17,1.1106823296217e-16,8.57953122495126e-16,"65",1,1,"65",0.867,1
"40","hsa-miR-892c-3p/hsa-miR-452-5p",1,-1.42420867641686,5.6850147273866e-06,7.75288466355241e-06,3.0088980386412e-05,"65",1,1,"65",0.873,1
"41","hsa-miR-2467-3p",1,-0.825455292718916,1.70115438801936e-05,2.15900630616873e-05,8.38978414091368e-05,"65",1,1,"65",0.8771,1
"42","hsa-miR-3174",0,-1.18085875041143,8.14379245990978e-11,1.49675435919643e-10,1.03953115517672e-09,"65",1,1,"65",0.888,1
"43","hsa-miR-487b-3p",0,-1.57521540392942,1.23738913175264e-18,5.08598765073126e-18,4.13097602446651e-17,"65",1,1,"65",0.898,1
"44","hsa-miR-501-3p/hsa-miR-502-3p",1,-1.16058727731254,3.29791887014292e-09,5.45431962890533e-09,3.11151476009136e-08,"65",1,1,"65",0.9002,1
"45","hsa-miR-885-5p",0,-1.86124803296416,2.1313839054494e-07,3.46656529049704e-07,1.42310863840776e-06,"65",1,1,"65",0.9009,1
"46","hsa-miR-208b-3p/hsa-miR-208a-3p",0,-1.97207045844612,8.69897694685588e-06,1.23617288871452e-05,4.44159528815936e-05,"65",1,1,"65",0.9233,1
"47","hsa-miR-455-3p.1",0,-1.25789722242144,9.86935480664614e-10,1.70607487399579e-09,1.07082499652111e-08,"65",1,1,"65",0.9308,1
"48","hsa-miR-1-3p/hsa-miR-206",0,-1.47365113740856,4.63408962458493e-05,5.94816604584475e-05,0.000209499468444777,"65",1,1,"65",0.9519,1
"49","hsa-miR-708-5p/hsa-miR-28-5p",0,-1.21946123105325,4.98826713032365e-05,6.28279116959344e-05,0.000223186385006233,"65",1,1,"65",0.9572,1
"50","hsa-miR-6746-5p",0,-1.56319949382958,0.120046837979001,0.123704075072782,0.243459475153674,"65",1,1,"65",0.9665,1
