"","x","cluster_hits","aggInv_cover","aggInv_pval","aggInv_pval_jk","aggInv_fdr","sumz_n","sumz_pval","sumz_fdr","sumlog_n","sumlog_pval","sumlog_fdr"
"1","hsa-miR-325-3p",2,-0.492204145895845,2.77820450616864e-33,1.06298005964277e-32,4.01913585225729e-31,"108",0.8074,1,"108",3.775e-12,1.63835e-09
"2","hsa-miR-629-5p",2,-0.434839125761238,6.90340107696535e-14,1.11471071170309e-13,9.66476150775149e-13,"108",0.7843,1,"108",9.665e-08,2.097305e-05
"3","hsa-miR-132-3p/hsa-miR-212-3p",1,-0.863090270525746,2.40040349226665e-06,2.93144759188629e-06,1.14480781938871e-05,"108",1,1,"108",4.829e-06,0.000698595333333333
"4","hsa-miR-892c-3p/hsa-miR-452-5p",2,-0.511498098785532,2.93729431473062e-22,6.15459856665913e-22,1.15889612053917e-20,"108",0.9672,1,"108",0.001204,0.130634
"5","hsa-miR-150-5p",3,-1.1534617192322,1.62696132468478e-23,4.69268508560477e-23,7.06101214913197e-22,"108",1,1,"108",0.001948,0.1690864
"6","hsa-miR-542-3p",2,-0.574048043031975,2.36783570475388e-25,5.72055059377827e-25,1.28455086982898e-23,"108",0.9909,1,"108",0.003756,0.271684
"7","hsa-miR-381-3p",3,-1.9595431788868,1.05775373893877e-10,1.83219636140184e-10,9.18130245398854e-10,"108",1,1,"108",0.01485,0.9207
"8","hsa-miR-339-5p",4,-1.06752657949643,4.83033108995232e-12,7.56698931936132e-12,5.37529152061361e-11,"108",1,1,"108",0.02068,1
"9","hsa-miR-552-3p",1,-0.672396926820778,1.83855898201012e-17,3.24780551833165e-17,4.43296998995773e-16,"108",0.9996,1,"108",0.06923,1
"10","hsa-miR-1197",0,-0.914742133270001,1.10684307781654e-11,1.65760724228959e-11,1.14373784707709e-10,"108",1,1,"108",0.09365,1
"11","hsa-miR-371a-5p",0,-1.77528904294653,6.53486782150946e-36,5.66883195049349e-35,1.41806631726755e-33,"108",1,1,"108",0.2293,1
"12","hsa-miR-802",1,-0.627221040558895,1.71430566884254e-16,2.85766074069404e-16,3.54289838227459e-15,"108",0.9992,1,"108",0.3398,1
"13","hsa-miR-4424",4,-1.8885906755553,1.5595672812084e-06,2.03736945799098e-06,7.87037441912144e-06,"108",1,1,"108",0.3717,1
"14","hsa-miR-196a-5p/hsa-miR-196b-5p",0,-1.25228987191762,1.71702432216381e-06,2.12382125546199e-06,8.37290512156285e-06,"108",1,1,"108",0.4785,1
"15","hsa-miR-525-5p",0,-1.00893888634338,0.000632056848481788,0.000697393121087063,0.00206250129504584,"108",1,1,"108",0.5688,1
"16","hsa-miR-2467-3p",1,-0.722131980904697,2.78826261601511e-09,3.69976270183863e-09,2.05102707686535e-08,"108",1,1,"108",0.5854,1
"17","hsa-miR-655-3p",1,-1.65740233444402,9.53370697885461e-15,1.88065804110608e-14,1.53245512178626e-13,"108",1,1,"108",0.6553,1
"18","hsa-miR-642b-5p",0,-0.941228075942248,1.52414136147456e-15,2.56314674395422e-15,2.87598848208678e-14,"108",1,1,"108",0.7215,1
"19","hsa-miR-499b-5p",2,-1.54102042076138,5.4479426552169e-12,8.87404046079964e-12,5.91101778091034e-11,"108",1,1,"108",0.7292,1
"20","hsa-miR-1278",1,-1.33016133543749,8.48715810646188e-19,1.86511428298293e-18,2.63101901300318e-17,"108",1,1,"108",0.7365,1
"21","hsa-miR-215-5p/hsa-miR-192-5p",0,-1.67976963398219,4.21241417605226e-11,6.67409062107339e-11,3.97432120088409e-10,"108",1,1,"108",0.8024,1
"22","hsa-miR-204-5p/hsa-miR-211-5p",0,-1.20594198463973,6.94827658478559e-06,8.27909614658669e-06,3.07709391611933e-05,"108",1,1,"108",0.8107,1
"23","hsa-miR-154-5p",3,-2.2971441235973,6.26152120474589e-08,9.10348988010146e-08,3.93840609110104e-07,"108",1,1,"108",0.8323,1
"24","hsa-miR-191-5p",2,-2.05194503860767,7.99958982334815e-18,2.22507880278764e-17,2.16988873958319e-16,"108",1,1,"108",0.8609,1
"25","hsa-miR-146a-5p/hsa-miR-146b-5p",0,-1.75274765668439,1.37462825171246e-06,1.74971356571486e-06,7.01869013227301e-06,"108",1,1,"108",0.8817,1
"26","hsa-miR-489-3p",0,-1.78919236575794,3.01306822747671e-11,4.85883495634648e-11,2.97198093346567e-10,"108",1,1,"108",0.8819,1
"27","hsa-miR-142-3p.1",0,-1.51245861743559,0.0212664949789384,0.0222333225016301,0.0507124111036222,"108",1,1,"108",0.8838,1
"28","hsa-miR-411-5p.2",2,-2.3137907016932,8.03764746779508e-11,1.43746398301109e-10,7.42199787451716e-10,"108",1,1,"108",0.8951,1
"29","hsa-miR-493-3p",2,-1.18790397492047,1.06169205821935e-17,2.03474932613131e-17,2.71043737215998e-16,"108",1,1,"108",0.9144,1
"30","hsa-miR-455-3p.1",0,-1.26943276606023,7.91564117546463e-15,1.36551776121285e-14,1.32130318082756e-13,"108",1,1,"108",0.9389,1
"31","hsa-miR-208b-3p/hsa-miR-208a-3p",0,-1.88338359884996,1.38359716042616e-09,2.04549246619007e-09,1.08920248793507e-08,"108",1,1,"108",0.9573,1
"32","hsa-miR-509-3p",1,-1.53169331415465,5.76167440419561e-07,7.29237378311258e-07,3.07711724674088e-06,"108",1,1,"108",0.9621,1
"33","hsa-miR-5586-5p",1,-1.85679168622726,0.00137853542790925,0.00151944292887791,0.00421327025149728,"108",1,1,"108",0.9655,1
"34","hsa-miR-708-5p/hsa-miR-28-5p",0,-1.30243499929217,1.68222606669662e-06,2.06288874871052e-06,8.29643310166288e-06,"108",1,1,"108",0.9659,1
"35","hsa-miR-599",1,-1.5666800879427,1.43265662603314e-23,4.24795155115904e-23,6.90858861887094e-22,"108",1,1,"108",0.9688,1
"36","hsa-miR-516a-5p",0,-1.53034728184582,1.35905330377299e-10,1.99698107440228e-10,1.15652771340682e-09,"108",1,1,"108",0.975,1
"37","hsa-miR-670-3p",1,-0.971685642294004,1.00922248166115e-18,1.88184956899841e-18,2.92001704693961e-17,"108",1,1,"108",0.9761,1
"38","hsa-miR-513b-5p",0,-1.86692100286641,6.00367970337194e-08,8.21642107934586e-08,3.83176028126974e-07,"108",1,1,"108",0.9771,1
"39","hsa-miR-486-5p",2,-1.52231587807895,4.76914974797646e-05,5.56090373732783e-05,0.000184804552734088,"108",1,1,"108",0.9782,1
