"","x","cluster_hits","aggInv_cover","aggInv_pval","aggInv_pval_jk","aggInv_fdr","sumz_n","sumz_pval","sumz_fdr","sumlog_n","sumlog_pval","sumlog_fdr"
"1","hsa-miR-545-3p",3,0.0534497530726437,0.000111106551699972,0.000136369302967146,0.00109107709214719,"58",0.01604,1,"58",2.107e-06,0.000574065666666667
"2","hsa-miR-185-5p",2,0.691656538245239,1.32329044398286e-05,1.60504787676952e-05,0.000252575871699338,"58",6.915e-08,3.035685e-05,"58",3.033e-06,0.000574065666666667
"3","hsa-miR-4677-3p",5,-0.248212570579311,1.25340396405375e-05,1.68265930906341e-05,0.000250111063736181,"58",0.2376,1,"58",3.923e-06,0.000574065666666667
"4","hsa-miR-1269a/hsa-miR-1269b",4,-0.13018016370938,0.000113018345904999,0.000140838284315443,0.00109107709214719,"58",0.1681,1,"58",7.649e-06,0.000806296666666667
"5","hsa-miR-183-5p.2",7,-0.166976585271469,0.13922742998902,0.142980218974918,0.18689935852737,"58",0.4022,1,"58",1.015e-05,0.000806296666666667
"6","hsa-miR-96-5p/hsa-miR-1271-5p",6,-0.698647768299335,0.277058092199815,0.280778002162728,0.320919531598203,"58",0.9806,1,"58",1.102e-05,0.000806296666666667
"7","hsa-miR-449b-5p/hsa-miR-34c-5p/hsa-miR-34a-5p/hsa-miR-449a",4,0.0286626249546746,0.00241095497548913,0.0027711441735612,0.00896956978169261,"58",0.1923,1,"58",4.69e-05,0.00282325777777778
"8","hsa-miR-22-3p",5,-0.249633041814594,0.0121539655656585,0.013405967005227,0.0290384289481421,"58",0.4792,1,"58",5.562e-05,0.00282325777777778
"9","hsa-miR-155-5p",4,-0.0181813466475638,1.0113929023431e-05,1.299736204696e-05,0.000211429278156487,"58",0.08368,1,"58",5.788e-05,0.00282325777777778
"10","hsa-miR-503-5p",5,-0.560806030194018,0.42313937589762,0.424585277024259,0.455289671615331,"58",0.9264,1,"58",8.359e-05,0.003669601
"11","hsa-miR-31-5p",3,-0.0477592266785102,0.00385133293496439,0.00434762425419763,0.0128085996852225,"58",0.174,1,"58",0.0002051,0.0075947
"12","hsa-miR-517c-3p/hsa-miR-517a-3p",4,-1.05670247275902,4.24400385964267e-08,7.36361412708586e-08,9.31558847191566e-06,"58",0.9998,1,"58",0.0002076,0.0075947
"13","hsa-miR-605-3p",0,0.32811144258387,0.000295247351467727,0.000343566285925808,0.00207242463586932,"58",0.0008166,0.1792437,"58",0.0003592,0.0120913142857143
"14","hsa-miR-143-3p",1,0.0504083930832619,3.66588053887456e-05,4.54401588997323e-05,0.00053644051885531,"58",0.04589,1,"58",0.0003856,0.0120913142857143
"15","hsa-miR-3179",5,0.0530336227399904,0.00309298012638753,0.0034891313088652,0.0110391729714156,"58",0.1017,1,"58",0.0004575,0.0133895
"16","hsa-miR-744-5p",2,-0.000985924894836344,0.00116466075519171,0.00133976873490012,0.00561852825856222,"58",0.0653,1,"58",0.0005218,0.0143168875
"17","hsa-miR-5581-3p",1,-0.0102268052901656,9.47041638398774e-07,1.28219921450805e-06,3.77955708415511e-05,"58",0.07475,1,"58",0.0007951,0.0205322882352941
"18","hsa-miR-450b-5p",3,-0.630911614615045,0.00216480800766036,0.00250836390745038,0.00848527424431158,"58",0.9394,1,"58",0.0009169,0.0223621722222222
"19","hsa-miR-4731-5p",1,0.281462011735461,0.025931622484285,0.0275790076663786,0.0512791994171222,"58",0.004974,0.727862,"58",0.0009776,0.0225877052631579
"20","hsa-miR-376a-3p/hsa-miR-376b-3p",3,-0.463098314782316,0.00137463656010672,0.00161740665876476,0.00628609843632133,"58",0.8219,1,"58",0.001074,0.0235743
