"","x","cluster_hits","aggInv_cover","aggInv_pval","aggInv_pval_jk","aggInv_fdr","sumz_n","sumz_pval","sumz_fdr","sumlog_n","sumlog_pval","sumlog_fdr"
"1","hsa-miR-524-5p",5,-0.203813880945577,0.000235419204589281,0.000294127131062731,0.0093953664376995,"60",0.1252,1,"60",1.99e-10,8.7361e-08
"2","hsa-miR-325-3p",0,0.0238670128659977,0.000620755096599756,0.000726386161625116,0.0227092906172744,"60",0.02256,1,"60",1.231e-05,0.002702045
"3","hsa-miR-500a-5p",0,0.011295220543289,8.96589541606088e-09,1.30360699060958e-08,2.31454696675263e-06,"60",0.05445,1,"60",0.005235,0.766055
"4","hsa-miR-410-3p",0,-0.534858981519924,9.65567718189611e-08,1.40870410014858e-07,1.14693741780547e-05,"60",0.7906,1,"60",0.01418,1
"5","hsa-miR-452-5p/hsa-miR-892c-3p",0,0.0504752409856914,8.13822854773397e-05,9.76455332811812e-05,0.00396964703606135,"60",0.05441,1,"60",0.03414,1
"6","hsa-miR-371a-5p",0,-1.05406457023934,1.04504548319405e-07,1.61728273250057e-07,1.14693741780547e-05,"60",0.9995,1,"60",0.04858,1
"7","hsa-miR-556-3p",0,-0.35647397337059,1.67952004881135e-06,2.24814944188724e-06,0.000122884883571364,"60",0.5132,1,"60",0.04924,1
"8","hsa-miR-372-3p/hsa-miR-520e/hsa-miR-302a-3p/hsa-miR-520a-3p/hsa-miR-520b/hsa-miR-520d-3p/hsa-miR-302c-3p.1/hsa-miR-302e/hsa-miR-302b-3p/hsa-miR-302d-3p/hsa-miR-520c-3p",1,-0.324787980013302,0.0522283298527902,0.0546386160235745,0.449573270693626,"60",0.9038,1,"60",0.1026,1
"9","hsa-miR-3942-5p",1,-0.335460130320168,0.0456811479555984,0.0480727880616105,0.426681360691653,"60",0.7822,1,"60",0.1187,1
"10","hsa-miR-132-3p/hsa-miR-212-3p",1,-0.561018598806321,0.411007856603255,0.412615145051564,0.999999999999995,"60",0.9471,1,"60",0.1211,1
"11","hsa-miR-545-3p",0,-0.099689902286351,0.299590800927253,0.30217506914862,0.999999999999995,"60",0.3299,1,"60",0.1332,1
"12","hsa-miR-522-3p",0,-0.380880292230777,0.00391173300869798,0.00435133035351239,0.0746630778616701,"60",0.9243,1,"60",0.1657,1
"13","hsa-miR-374c-3p",0,0.14613621866394,2.03620609201961e-07,2.63732498799836e-07,1.78778894879321e-05,"60",0.04109,1,"60",0.1688,1
"14","hsa-miR-7151-5p",0,-0.764213472079245,0.00248441058068806,0.00282520917982643,0.0556962817839909,"60",0.9761,1,"60",0.1951,1
"15","hsa-miR-519d-3p/hsa-miR-93-5p/hsa-miR-20a-5p/hsa-miR-17-5p/hsa-miR-106a-5p/hsa-miR-106b-5p/hsa-miR-20b-5p",2,-0.167596406774719,0.0206249815931705,0.021907167201422,0.232163254343638,"60",0.6513,1,"60",0.217,1
"16","hsa-miR-370-3p",0,0.00465961995346852,0.00621038681790918,0.00672574755291022,0.100976289372671,"60",0.2603,1,"60",0.2239,1
"17","hsa-miR-3140-3p",1,-0.23399022257091,0.0562316012160556,0.058698374357469,0.474724479497084,"60",0.8168,1,"60",0.3143,1
"18","hsa-miR-1323",0,-0.638331909557875,0.363798638555714,0.365783625204575,0.999999999999995,"60",0.9867,1,"60",0.3165,1
"19","hsa-miR-488-3p",0,-0.17146927763637,0.00236166404300994,0.00264313784687148,0.0556962817839909,"60",0.4257,1,"60",0.3761,1
"20","hsa-miR-26b-5p/hsa-miR-26a-5p",0,-0.198717974854212,0.00385735674218169,0.00423670473695333,0.0746630778616701,"60",0.8246,1,"60",0.4317,1
"21","hsa-miR-200a-3p/hsa-miR-141-3p",1,-0.763620074787969,0.770244478517893,0.766358692545138,0.999999999999995,"60",0.9998,1,"60",0.4548,1
"22","hsa-miR-10b-5p/hsa-miR-10a-5p",1,-1.04927254176534,0.79435855158138,0.78979805435392,0.999999999999995,"60",1,1,"60",0.4821,1
"23","hsa-miR-3121-3p",1,-1.1350046181586,0.0511916224841803,0.054210025695073,0.449573270693626,"60",1,1,"60",0.5084,1
"24","hsa-miR-495-3p",2,-0.862544156222103,0.0589966555603713,0.0617332485003071,0.48163341285438,"60",0.9999,1,"60",0.5319,1
"25","hsa-miR-330-3p",0,-0.42878272509846,0.0642981776157021,0.0668815061143076,0.495208771461284,"60",0.8848,1,"60",0.5554,1
"26","hsa-miR-889-3p",0,-1.21086812811828,0.0034358517020585,0.00388070754805342,0.0718256617716039,"60",1,1,"60",0.5617,1
"27","hsa-miR-203a-3p.2",0,-1.48789679888574,0.227662401910699,0.231691149955153,0.999999999999995,"60",1,1,"60",0.5741,1
"28","hsa-miR-6835-3p",0,-0.361066432827481,0.0657692113381477,0.0684002861442921,0.497804892714601,"60",0.8999,1,"60",0.5824,1
"29","hsa-miR-345-5p",0,-0.952913190273386,0.00477228267649669,0.00532182864932712,0.0805781574993095,"60",0.9999,1,"60",0.6936,1
"30","hsa-miR-4637",1,-0.83708630556582,0.0229017627890698,0.024446376902382,0.245216435717113,"60",0.9992,1,"60",0.7262,1
"31","hsa-miR-944",0,-0.930292598674596,1.05446331059345e-08,1.62085681691245e-08,2.31454696675263e-06,"60",0.9995,1,"60",0.7481,1
"32","hsa-miR-599",0,-0.349710672561584,0.000129580275004342,0.000153796443982423,0.00568857407269061,"60",0.8836,1,"60",0.778,1
"33","hsa-miR-335-5p",0,-0.383452102890658,0.0160357291993771,0.0171550920825081,0.206556087165994,"60",0.9271,1,"60",0.7853,1
"34","hsa-miR-191-5p",0,-1.07763279304533,1.17971951303993e-05,1.5456905549411e-05,0.000739852666035042,"60",0.9999,1,"60",0.8081,1
"35","hsa-miR-154-5p",0,-0.524840125891271,0.00238108674844958,0.00264967519684493,0.0556962817839909,"60",0.9877,1,"60",0.8378,1
"36","hsa-miR-374b-3p",0,-0.527284225661478,0.017829128769154,0.0191097102123662,0.212674897749984,"60",0.9883,1,"60",0.8586,1
"37","hsa-miR-511-3p",2,-0.326688812012353,0.0179247635916843,0.0190602489740849,0.212674897749984,"60",0.9728,1,"60",0.8607,1
"38","hsa-miR-3617-5p/hsa-miR-641",0,-0.554252649817437,0.101311540182694,0.10442539016996,0.632334682097389,"60",0.985,1,"60",0.8693,1
