"","x","cluster_hits","aggInv_cover","aggInv_pval","aggInv_pval_jk","aggInv_fdr","sumz_n","sumz_pval","sumz_fdr","sumlog_n","sumlog_pval","sumlog_fdr"
"1","hsa-miR-376c-3p",4,-0.556370101525008,3.34466314141486e-10,1.90783316225503e-09,3.62895950843512e-08,"28",0.6615,1,"28",3.774e-08,1.637916e-05
"2","hsa-miR-185-5p",3,0.42916851803579,3.81727955650886e-05,6.27378393410138e-05,0.000338101903576499,"28",0.0005155,0.1400084,"28",2.785e-07,6.04345e-05
"3","hsa-miR-3605-3p",2,0.417102833500364,2.26904447643972e-15,1.13732531058369e-14,9.84765302774837e-13,"28",0.0006452,0.1400084,"28",3.077e-06,0.000445139333333333
"4","hsa-miR-3179",3,0.240925840953764,0.000746492978146404,0.00104357417386604,0.00337477033870353,"28",0.01113,0.69006,"28",4.738e-06,0.000514073
"5","hsa-miR-625-5p",2,0.387243360183067,0.000319144743700529,0.000459755074408642,0.00182248445744776,"28",0.005315,0.5766775,"28",4.561e-05,0.003958948
"6","hsa-miR-15a-5p/hsa-miR-497-5p/hsa-miR-16-5p/hsa-miR-15b-5p/hsa-miR-195-5p/hsa-miR-424-5p",2,0.357063868116953,0.00759940600389247,0.0091325979233247,0.01822178014193,"28",0.008312,0.601234666666667,"28",0.000133,0.00962033333333333
"7","hsa-miR-22-3p",0,0.163217808144569,0.000345245744258101,0.000484309590409296,0.001920982730872,"28",0.03042,1,"28",0.0003514,0.0217868
"8","hsa-miR-126-3p.2",0,-0.525682519737927,5.82245406772473e-07,1.32528025872291e-06,1.57934066587033e-05,"28",0.6939,1,"28",0.0004451,0.024146675
"9","hsa-miR-449b-5p/hsa-miR-34c-5p/hsa-miR-34a-5p/hsa-miR-449a",2,0.0170897088736516,0.000850311894071578,0.00120584602819697,0.0036538154656145,"28",0.1354,1,"28",0.0006428,0.02881326
"10","hsa-miR-296-5p",1,0.218833446971726,0.000785029686091527,0.00107162486031376,0.00347656003840534,"28",0.02767,1,"28",0.0006639,0.02881326
"11","hsa-miR-183-5p.2",1,-0.43025332855265,0.0953554641643462,0.103729999519694,0.130549752199767,"28",0.6941,1,"28",0.0008862,0.0349646181818182
"12","hsa-miR-139-5p",1,-0.211189752870075,5.31995908092764e-07,1.09845129553405e-06,1.53924149408173e-05,"28",0.4419,1,"28",0.001492,0.0539606666666667
"13","hsa-miR-124-3p.1",3,-0.33814088414171,0.0323587519967046,0.0375588349165536,0.0546447407259524,"28",0.7004,1,"28",0.001699,0.054901
"14","hsa-miR-433-3p",1,0.36954903649374,1.44663151292604e-10,3.71387818387222e-10,2.09279358869967e-08,"28",0.006928,0.601234666666667,"28",0.001771,0.054901
"15","hsa-miR-101-3p.1",1,0.0193010689982114,5.07981842376252e-05,8.00464589833839e-05,0.000432282587433909,"28",0.1328,1,"28",0.001899,0.0549444
"16","hsa-miR-1271-5p/hsa-miR-96-5p",2,-0.257074394553479,0.00448783838325929,0.00567279170482499,0.0124853965277855,"28",0.5385,1,"28",0.002076,0.0563115
"17","hsa-miR-1306-5p",1,-0.167341878628578,7.52169615346178e-06,1.35350942224447e-05,0.0001184261187153,"28",0.264,1,"28",0.002345,0.0598664705882353
"18","hsa-miR-219a-2-3p",2,-0.302681041227387,4.51307155754252e-12,2.00299957723588e-11,9.79336527986727e-10,"28",0.4334,1,"28",0.002633,0.0634845555555556
"19","hsa-miR-1276",3,-1.50750908128895,7.18661962905634e-05,0.000153673303958254,0.000567089621638264,"28",1,1,"28",0.00355,0.0810894736842105
"20","hsa-miR-1269b/hsa-miR-1269a",3,-1.47729037155189,0.004641860132237,0.00655257166914205,0.0128316388368844,"28",1,1,"28",0.003953,0.0857801
"21","hsa-miR-124-3p.2/hsa-miR-506-3p",0,0.211800155704336,0.000141350159699557,0.000201845895905803,0.000989451117896896,"28",0.05195,1,"28",0.004467,0.092318
"22","hsa-miR-511-3p",1,-1.49938454199149,0.00563251566945961,0.00789092101920776,0.0145506654794373,"28",1,1,"28",0.006994,0.137972545454545
"23","hsa-miR-654-5p",0,0.455361780029745,1.49610319899339e-05,2.25816869548192e-05,0.000166489432913623,"28",0.00388,0.561306666666667,"28",0.01306,0.24643652173913
"24","hsa-miR-1252-5p",1,-0.350837596177612,0.000230963510126479,0.000342129351003393,0.00143197376278417,"28",0.6331,1,"28",0.01675,0.302895833333333
"25","hsa-miR-3150b-3p",0,0.0693968930820441,3.36561547929514e-05,5.13043286269164e-05,0.000304307732919602,"28",0.1302,1,"28",0.02265,0.393204
"26","hsa-miR-182-5p",1,-0.820469953347938,0.0182840222364139,0.0219011166994038,0.0351117949141754,"28",0.9806,1,"28",0.02498,0.406463448275862
"27","hsa-miR-4731-5p",0,-0.188312613657448,0.0566914185471038,0.0629221225405778,0.0860282365365141,"28",0.5941,1,"28",0.0262,0.406463448275862
"28","hsa-miR-7-5p",0,-0.415840661848097,0.000996574639968542,0.00138288341677236,0.0041991591625859,"28",0.6668,1,"28",0.02658,0.406463448275862
"29","hsa-miR-624-5p",0,-0.400991673965922,1.67606055142572e-06,3.3049824882513e-06,3.97616942088564e-05,"28",0.6378,1,"28",0.02716,0.406463448275862
