"","x","cluster_hits","aggInv_cover","aggInv_pval","aggInv_pval_jk","aggInv_fdr","sumz_n","sumz_pval","sumz_fdr","sumlog_n","sumlog_pval","sumlog_fdr"
"1","hsa-miR-374c-3p",1,0.416899188636178,2.60930840434302e-19,5.00535537931805e-19,1.11939330546315e-16,"76",2.298e-06,0.000985842,"76",5.408e-06,0.002320032
"2","hsa-miR-495-3p",1,-0.346751710971799,0.00279132429207273,0.00308555881983418,0.0292067834463219,"76",0.571,1,"76",0.0003649,0.07827105
"3","hsa-miR-3121-3p",2,-1.09481876526257,6.00812555127003e-07,8.40808591615698e-07,3.22185732686855e-05,"76",1,1,"76",0.001279,0.182897
"4","hsa-miR-599",0,-0.414551313484505,2.61481002579069e-10,3.97746081864831e-10,5.60876750532104e-08,"76",0.7794,1,"76",0.02172,1
"5","hsa-miR-433-3p",2,-1.21981546345551,0.0511405696962905,0.0533959468083617,0.269339810896287,"76",1,1,"76",0.1302,1
"6","hsa-miR-497-5p/hsa-miR-424-5p/hsa-miR-16-5p/hsa-miR-15b-5p/hsa-miR-15a-5p/hsa-miR-195-5p",4,-0.72628862896389,0.874637110145275,0.87135493682243,0.999999999999955,"76",0.9999,1,"76",0.1496,1
"7","hsa-miR-1278",1,-1.12516105848086,0.000110537511067921,0.000134438193705767,0.00175631823141252,"76",1,1,"76",0.1636,1
"8","hsa-miR-892c-3p/hsa-miR-452-5p",0,-0.467967835504928,3.27935707668414e-06,4.07564840685484e-06,0.00014068441858975,"76",0.923,1,"76",0.204,1
"9","hsa-miR-1307-3p",0,-0.943423754985752,0.00586650089389193,0.00639725111768561,0.0524318517391592,"76",1,1,"76",0.2349,1
"10","hsa-miR-668-3p",4,-1.98862837751776,0.250377873005899,0.253521656740603,0.89510089599609,"76",1,1,"76",0.2451,1
"11","hsa-miR-556-3p",1,-1.52755034491522,2.66099564276227e-07,3.86118881305832e-07,2.28313426149003e-05,"76",1,1,"76",0.2632,1
"12","hsa-miR-451a",0,-2.81352034922359,4.46923393225797e-07,8.03837924310328e-07,3.08234057073009e-05,"76",1,1,"76",0.2691,1
"13","hsa-miR-4766-3p",2,-1.31613577975202,0.000119049716310309,0.000145474210098762,0.00182401172489724,"76",1,1,"76",0.282,1
"14","hsa-miR-520e/hsa-miR-372-3p/hsa-miR-302e/hsa-miR-302b-3p/hsa-miR-520b/hsa-miR-302a-3p/hsa-miR-520a-3p/hsa-miR-520d-3p/hsa-miR-302c-3p.1/hsa-miR-302d-3p/hsa-miR-520c-3p",3,-0.684175486845729,0.0789313805772943,0.0815014835264027,0.372105079864387,"76",0.9995,1,"76",0.295,1
"15","hsa-miR-4524a-5p/hsa-miR-4524b-5p",3,-0.778601371819952,0.0818988029523844,0.0845067419831142,0.374886919027675,"76",0.9999,1,"76",0.3508,1
"16","hsa-miR-503-5p",5,-1.95090846723974,0.817259923018264,0.814145297891877,0.999999999999955,"76",1,1,"76",0.3723,1
"17","hsa-miR-4661-5p",0,-0.713145627771671,4.81296088937824e-05,5.7673022712587e-05,0.00102315917365879,"76",0.9986,1,"76",0.3949,1
"18","hsa-miR-143-3p",6,-1.32886419423773,0.286676383034981,0.289167218369068,0.960813815015679,"76",1,1,"76",0.3952,1
"19","hsa-miR-4424",1,-0.892364338904763,5.00847147944863e-05,6.06932428170539e-05,0.00102315917365879,"76",1,1,"76",0.3966,1
"20","hsa-miR-524-5p",2,-2.25360653056899,0.103878893300524,0.107633776278441,0.445640452259249,"76",1,1,"76",0.4407,1
"21","hsa-miR-641/hsa-miR-3617-5p",1,-1.11818451754153,2.19478020057239e-05,2.73182493114271e-05,0.000553859238850328,"76",1,1,"76",0.4575,1
"22","hsa-miR-493-3p",0,-1.48721458793959,2.57515255664075e-05,3.25818845083644e-05,0.000613744692666046,"76",1,1,"76",0.4788,1
"23","hsa-miR-132-3p/hsa-miR-212-3p",4,-1.14554055607193,0.724625375268297,0.722261918562873,0.999999999999955,"76",1,1,"76",0.4813,1
"24","hsa-miR-499b-5p",0,-1.00545274840395,4.14878415151971e-05,5.03507862501227e-05,0.000936751790001029,"76",1,1,"76",0.6387,1
"25","hsa-miR-2278",0,-0.928041392265081,0.00032517233639581,0.000376360942725641,0.00449996555850976,"76",1,1,"76",0.6518,1
"26","hsa-miR-5009-3p",0,-1.83183008267257,4.31085426962776e-06,5.88600298568746e-06,0.000168123316515483,"76",1,1,"76",0.6726,1
"27","hsa-miR-4677-3p",5,-1.18390122877463,0.0717986188229576,0.0744458391239456,0.346085477247739,"76",1,1,"76",0.6966,1
"28","hsa-miR-181a-5p/hsa-miR-181d-5p/hsa-miR-181c-5p/hsa-miR-181b-5p",7,-1.29150096320794,0.997179703389591,0.996865411869377,0.999999999999955,"76",1,1,"76",0.7365,1
"29","hsa-miR-345-5p",1,-1.81636375508797,8.54618125104004e-10,1.5565378929444e-09,1.22210391889873e-07,"76",1,1,"76",0.7477,1
"30","hsa-miR-383-5p.2",0,-1.88187666874253,0.0717906949375472,0.0746423329573944,0.346085477247739,"76",1,1,"76",0.7624,1
"31","hsa-miR-371a-5p",0,-1.49792385794683,0.00289758429819634,0.0032527032516936,0.0295967539030055,"76",1,1,"76",0.7835,1
"32","hsa-miR-325-3p",0,-0.286675901037647,0.629995703818223,0.62867917805395,0.999999999999955,"76",0.983,1,"76",0.8083,1
"33","hsa-miR-370-3p",1,-0.842042289686492,6.08788483782185e-06,7.62909769634389e-06,0.000217641882952131,"76",1,1,"76",0.8238,1
"34","hsa-miR-214-3p/hsa-miR-3619-5p",0,-0.648762331117302,0.47137675098644,0.471842543588334,0.999999999999955,"76",0.9996,1,"76",0.845,1
"35","hsa-miR-330-3p",5,-1.2279298542014,0.941656203006777,0.939280756135611,0.999999999999955,"76",1,1,"76",0.8526,1
"36","hsa-miR-196a-5p/hsa-miR-196b-5p",3,-1.63975146245258,0.434926634934178,0.435819378526741,0.999999999999955,"76",1,1,"76",0.874,1
"37","hsa-miR-93-5p/hsa-miR-17-5p/hsa-miR-519d-3p/hsa-miR-106b-5p/hsa-miR-20a-5p/hsa-miR-106a-5p/hsa-miR-20b-5p",2,-0.653409532824156,0.529493791658478,0.529214158017627,0.999999999999955,"76",1,1,"76",0.8747,1
"38","hsa-miR-499a-5p",0,-1.36495552248175,0.0267465108009653,0.0283204361610816,0.166293523675567,"76",1,1,"76",0.8995,1
"39","hsa-miR-519c-3p/hsa-miR-519a-3p",2,-1.17177740607201,0.103790801276982,0.106856377190278,0.445640452259249,"76",1,1,"76",0.9083,1
"40","hsa-miR-505-3p.1",0,-1.50226687241672,5.02946013872042e-07,7.07566494868564e-07,3.08234057073009e-05,"76",1,1,"76",0.9102,1
"41","hsa-miR-18a-5p/hsa-miR-18b-5p",1,-1.47392699630798,0.00869419512849958,0.0094625945114993,0.064533737217972,"76",1,1,"76",0.9117,1
"42","hsa-miR-942-5p",0,-0.926178321323207,0.000822923937771426,0.000933889533358609,0.0106980111910285,"76",1,1,"76",0.9249,1
"43","hsa-miR-378a-3p",4,-1.74665697913998,0.172157335482581,0.175330763883669,0.659424079660958,"76",1,1,"76",0.9263,1
"44","hsa-miR-429/hsa-miR-200b-3p/hsa-miR-200c-3p",3,-1.22669552666782,0.998351488481226,0.998151982266068,0.999999999999955,"76",1,1,"76",0.9316,1
"45","hsa-miR-488-3p",0,-0.893589098523915,0.0494467034186786,0.0513683255729392,0.265157947082664,"76",1,1,"76",0.9366,1
"46","hsa-miR-362-5p",0,-1.73349531877427,0.00855642511970388,0.0092998885611782,0.064533737217972,"76",1,1,"76",0.9519,1
"47","hsa-miR-1271-5p/hsa-miR-96-5p",5,-1.79434679881486,0.999963041096771,0.999954748578765,0.999999999999955,"76",1,1,"76",0.9546,1
"48","hsa-miR-769-5p",0,-1.6168996806106,0.0150399606573922,0.0161961109327263,0.100814736281582,"76",1,1,"76",0.9555,1
"49","hsa-miR-802",1,-1.6836735267467,0.221121667342036,0.224233010361052,0.803908434658758,"76",1,1,"76",0.9627,1
"50","hsa-miR-552-3p",2,-0.564069696584126,0.000163434051621962,0.000186637547564352,0.00241769683261454,"76",0.9987,1,"76",0.9636,1
"51","hsa-miR-629-5p",0,-1.0673102378471,0.0301249545611429,0.0318590316417684,0.172314740089737,"76",1,1,"76",0.9646,1
"52","hsa-miR-214-5p",1,-1.89337456967897,0.000180891085818322,0.000220182015694011,0.00258674252720201,"76",1,1,"76",0.9676,1
"53","hsa-miR-3140-3p",0,-1.18079898783994,0.0016168557307254,0.00181379826103025,0.0192675307911444,"76",1,1,"76",0.9704,1
"54","hsa-miR-545-3p",1,-1.15821935753426,0.534524406140662,0.534160374740686,0.999999999999955,"76",1,1,"76",0.9801,1
"55","hsa-miR-877-5p",0,-2.1989183541654,1.92070350690008e-05,2.52931743875371e-05,0.000549321202973424,"76",1,1,"76",0.9813,1
"56","hsa-miR-320a/hsa-miR-320b/hsa-miR-320d/hsa-miR-320c",1,-1.17199270554166,0.963834357460882,0.961981957935153,0.999999999999955,"76",1,1,"76",0.9851,1
"57","hsa-miR-148a-3p/hsa-miR-152-3p/hsa-miR-148b-3p",5,-1.57363369377006,0.921319368606759,0.918760791390284,0.999999999999955,"76",1,1,"76",0.9899,1
"58","hsa-miR-217",6,-2.1387410247625,0.906967121400154,0.904207147072786,0.999999999999955,"76",1,1,"76",0.9933,1
"59","hsa-miR-1296-5p",0,-0.880983126219332,0.0044774754198599,0.0048718607960149,0.042685265669331,"76",1,1,"76",0.9935,1
"60","hsa-miR-218-5p",0,-0.888546695067788,0.484255594410506,0.484475197209472,0.999999999999955,"76",1,1,"76",0.9938,1
"61","hsa-miR-624-3p",0,-2.41318982372911,0.974896752503528,0.973253938457449,0.999999999999955,"76",1,1,"76",0.9959,1
"62","hsa-miR-1287-5p",1,-1.26511289190954,0.266742088638851,0.269385997114847,0.922841580855378,"76",1,1,"76",0.996,1
"63","hsa-miR-525-5p",1,-0.998859268779796,0.497004072790667,0.497120564476328,0.999999999999955,"76",1,1,"76",0.997,1
"64","hsa-miR-183-5p.1",2,-1.88994970301254,0.925103118082361,0.922478503705575,0.999999999999955,"76",1,1,"76",0.9972,1
"65","hsa-miR-200a-3p/hsa-miR-141-3p",1,-1.58394620999575,0.995494592279859,0.995002173981528,0.999999999999955,"76",1,1,"76",0.9974,1
"66","hsa-miR-2116-3p",1,-1.3127656133978,0.0087160275670872,0.00942170341817915,0.064533737217972,"76",1,1,"76",0.9978,1
"67","hsa-miR-1179",0,-1.22507019731763,2.16065071825925e-05,2.65310203079089e-05,0.000553859238850328,"76",1,1,"76",0.9981,1
"68","hsa-miR-194-5p",1,-1.81162061487119,0.897910937644643,0.89474870312177,0.999999999999955,"76",1,1,"76",0.9984,1
"69","hsa-miR-490-3p",0,-1.904949961455,0.00637024613385111,0.007002431010871,0.0557721549269822,"76",1,1,"76",0.9984,1
"70","hsa-miR-509-3p",0,-1.67727188241027,0.119946420351048,0.123135188211997,0.504480532652937,"76",1,1,"76",0.9985,1
"71","hsa-miR-1276",0,-1.41991155041504,0.00815712129150482,0.00882177943757669,0.064533737217972,"76",1,1,"76",0.9986,1
"72","hsa-miR-642a-3p/hsa-miR-642b-3p",0,-1.59990300889503,0.0145299543267516,0.0156504457237129,0.0989420699393083,"76",1,1,"76",0.9987,1
"73","hsa-miR-2114-5p",0,-1.36606285293123,0.00889412478551796,0.00962985746876448,0.064670839542156,"76",1,1,"76",0.9988,1
"74","hsa-miR-505-3p.2",1,-2.27256553444975,0.696621781111499,0.694213173687464,0.999999999999955,"76",1,1,"76",0.9988,1
"75","hsa-miR-186-5p",0,-0.860147872801939,0.444290610287689,0.444955987226641,0.999999999999955,"76",1,1,"76",0.999,1
"76","hsa-miR-215-5p/hsa-miR-192-5p",0,-1.82270058050476,0.0246793893569754,0.0261868696585122,0.16041603082034,"76",1,1,"76",0.999,1
"77","hsa-miR-616-3p",0,-1.75780905540317,0.261378246998452,0.264195200926516,0.91163632489704,"76",1,1,"76",0.999,1
"78","hsa-miR-1193",2,-1.73609006499466,0.077619395364666,0.0802505757627296,0.369985784571575,"76",1,1,"76",0.9991,1
"79","hsa-miR-129-5p",2,-1.6746420694445,0.932308316076088,0.92978596698633,0.999999999999955,"76",1,1,"76",0.9991,1
"80","hsa-miR-219a-5p",1,-1.68951222748308,0.0289692339894692,0.0306163982784842,0.167943261911923,"76",1,1,"76",0.9991,1
"81","hsa-miR-208b-3p/hsa-miR-208a-3p",0,-1.88731565711076,7.54898917054609e-05,9.30740237674174e-05,0.00134938181423511,"76",1,1,"76",0.9992,1
"82","hsa-miR-3690",1,-1.09048019399391,0.00432908122039889,0.00473057701534135,0.0422085418988892,"76",1,1,"76",0.9992,1
"83","hsa-miR-483-5p",4,-1.75862421919666,0.636807194406434,0.63526034319946,0.999999999999955,"76",1,1,"76",0.9993,1
"84","hsa-miR-5691",1,-1.64130536272181,0.00239625011038293,0.00269570858973874,0.0263587512142123,"76",1,1,"76",0.9993,1
"85","hsa-miR-3174",0,-1.39050115346466,0.0288414606996123,0.0304159683052696,0.167943261911923,"76",1,1,"76",0.9994,1
"86","hsa-miR-2467-3p",1,-0.714261499016882,0.142259947296038,0.145061098850467,0.576427459193954,"76",1,1,"76",0.9995,1
"87","hsa-miR-513a-5p",4,-1.23745862009283,0.148987836622025,0.151744267170792,0.591812795470823,"76",1,1,"76",0.9995,1
"88","hsa-miR-203a-3p.2",2,-1.33241438242296,0.99945681646892,0.999371944466928,0.999999999999955,"76",1,1,"76",0.9996,1
"89","hsa-miR-2115-3p",0,-0.956866339526161,1.67487530028844e-05,2.0400038984422e-05,0.000513229645588385,"76",1,1,"76",0.9996,1
"90","hsa-miR-2355-5p",1,-1.04247587781543,0.521313709387431,0.521121616650277,0.999999999999955,"76",1,1,"76",0.9996,1
"91","hsa-miR-520f-3p/hsa-miR-302c-3p.2",2,-1.41110306758093,0.584742210824741,0.58379103434267,0.999999999999955,"76",1,1,"76",0.9996,1
"92","hsa-miR-522-3p",1,-1.70462306675105,0.0287469114737339,0.0303746774398144,0.167943261911923,"76",1,1,"76",0.9996,1
"93","hsa-miR-1251-5p",0,-2.45908171101532,0.00041332909582579,0.000500623064417792,0.00554119319091449,"76",1,1,"76",0.9997,1
"94","hsa-miR-3127-5p",0,-1.37750554673197,0.354931752829849,0.35675634945466,0.999999999999955,"76",1,1,"76",0.9997,1
"95","hsa-miR-512-3p",0,-1.72172481728162,0.745490613034018,0.742653515004286,0.999999999999955,"76",1,1,"76",0.9997,1
"96","hsa-miR-873-3p",4,-2.20530587298013,0.260130782510422,0.262936883618528,0.91163632489704,"76",1,1,"76",0.9997,1
"97","hsa-miR-1224-5p",0,-2.00927158478441,0.00944752474728928,0.0102902558270569,0.0664424281407721,"76",1,1,"76",0.9998,1
"98","hsa-miR-183-5p.2",4,-1.87669966994142,0.99967178323496,0.999620972373302,0.999999999999955,"76",1,1,"76",0.9998,1
"99","hsa-miR-197-3p",0,-1.10069672488495,0.0514822016165397,0.0533903378978169,0.269339810896287,"76",1,1,"76",0.9998,1
"100","hsa-miR-323a-3p",2,-1.83552693274152,0.401012280710455,0.402280219062938,0.999999999999955,"76",1,1,"76",0.9998,1
"101","hsa-miR-421",2,-1.51219144922371,0.454806536201954,0.455383821352158,0.999999999999955,"76",1,1,"76",0.9998,1
"102","hsa-miR-431-5p",0,-2.48349094053935,0.005809402676166,0.00648404397034754,0.0524318517391592,"76",1,1,"76",0.9998,1
"103","hsa-miR-485-5p",1,-1.82058776320512,0.396090510641415,0.397415291231887,0.999999999999955,"76",1,1,"76",0.9998,1
"104","hsa-miR-545-5p",0,-0.925758847141401,7.87875259676881e-05,9.21988310000847e-05,0.00135199394560553,"76",1,1,"76",0.9998,1
"105","hsa-miR-6509-3p",2,-1.84650711721202,0.865782206433563,0.862509948816161,0.999999999999955,"76",1,1,"76",0.9998,1
"106","hsa-miR-1-3p/hsa-miR-206",2,-2.40872576807612,0.99999986220557,0.999999805811005,0.999999999999955,"76",1,1,"76",0.9999,1
"107","hsa-miR-1269a/hsa-miR-1269b",0,-1.32796658814348,0.553839213264813,0.553236143327956,0.999999999999955,"76",1,1,"76",0.9999,1
"108","hsa-miR-128-3p",4,-1.65510426769871,0.999964540902472,0.99995642045058,0.999999999999955,"76",1,1,"76",0.9999,1
"109","hsa-miR-1323",4,-2.53161018979565,0.442910355521767,0.443630398827492,0.999999999999955,"76",1,1,"76",0.9999,1
"110","hsa-miR-182-5p",0,-1.42082199816826,0.987480267885308,0.986543558642352,0.999999999999955,"76",1,1,"76",0.9999,1
"111","hsa-miR-216b-5p",2,-1.95248517067817,0.620056661644691,0.618529756379492,0.999999999999955,"76",1,1,"76",0.9999,1
"112","hsa-miR-27a-3p/hsa-miR-27b-3p",5,-1.82594574861597,0.999999943696945,0.999999920576394,0.999999999999955,"76",1,1,"76",0.9999,1
"113","hsa-miR-455-3p.2",0,-2.18188220831815,0.843118013699137,0.839979057556572,0.999999999999955,"76",1,1,"76",0.9999,1
"114","hsa-miR-501-3p/hsa-miR-502-3p",0,-2.23967052509922,0.00870409116030081,0.00953573832243831,0.064533737217972,"76",1,1,"76",0.9999,1
"115","hsa-miR-5094",0,-1.62912769220195,0.148502051566859,0.151827495781829,0.591812795470823,"76",1,1,"76",0.9999,1
